
SET LINE 55
SET PAGES 30000
COLUMN RTN_NET FORMAT 99,99,999.99

COMPUTE COUNT OF RTN_NO ON REPORT
---COMPUTE SUM OF RTN_NET ON REPORT
COMPUTE MAX OF RTN_NET ON FL_MVH
COMPUTE COUNT OF RTN_NO ON FL_MVH
BREAK ON REPORT ON FL_MVH


TTITLE center 'Depot:'&&SC_CD', Return Bill' SKIP2

SPOOL ON

SELECT SC_CD, FL_MVH, FP_ID, BILL_NO, RTN_NO, RTN_DT,RSN_NO, SALE_CD, RTN_NET 
	FROM SCENT.RTN_MAS 
	WHERE SC_CD='&&SC_CD' 
	AND RTN_DT BETWEEN '&DATE1' AND '&DATE2'
	AND CANCL IS NULL 
	ORDER BY FL_MVH, RTN_NO
/

 
SPOOL OFF

ED ON.LST

===============================


old   3: 	WHERE SC_CD='&&SC_CD'
new   3: 	WHERE SC_CD='11'
Enter value for date1: 01JAN25
Enter value for date2: 31JAN25
old   4: 	AND RTN_DT BETWEEN '&DATE1' AND '&DATE2'
new   4: 	AND RTN_DT BETWEEN '01JAN25' AND '31JAN25'

                 Depot:11, Return Bill                 
                                                       
SC F FP_ID BILL_NO RTN_NO RTN_DT    R SA       RTN_NET 
-- - ----- ------- ------ --------- - -- ------------- 
11 1 26879 1520193 278047 03-JAN-25 4 WM      7,960.22 
11   22970 1519658 278180 09-JAN-25 4 WM      1,628.10 
11   22648 1522125 278181 09-JAN-25 $ WO      1,565.10 
11   02455 1521712 278182 09-JAN-25 $ WM        591.68 
11   21678 1521712 278183 09-JAN-25 $ WM      4,048.20 
11   02MT7 1522149 278184 09-JAN-25 4 WM     15,249.68 
11   05207 1522129 278185 09-JAN-25 $ WM      9,839.96 
11   21258 1522367 278186 11-JAN-25 $ WM      1,003.58 
11   22516 1522367 278187 11-JAN-25 $ WM      2,445.84 
11   27517 1522448 278188 11-JAN-25 $ WM      3,118.59 
11   21666 1521473 278189 11-JAN-25 7 WM        900.38 
11   02MK2 1522455 278190 11-JAN-25 7 WM      3,270.71 
11   26688 1519267 278191 11-JAN-25 4 WM        858.50 
11   05418 1521904 278192 11-JAN-25 7 WO      1,267.14 
11   26688 1521904 278193 11-JAN-25 7 WO        415.21 
11   05418 1521569 278194 11-JAN-25 7 WM      1,421.63 
11   26688 1520284 278195 11-JAN-25 4 WM        167.22 
11   26688 1518694 278196 11-JAN-25 4 WM         58.46 
11   05418 1520863 278197 11-JAN-25 4 WM      1,509.38 
11   26688 1521522 278198 11-JAN-25 4 WM        514.51 
11   05X38 1521762 278199 11-JAN-25 4 WO      1,492.30 
11   50091 1522358 278200 11-JAN-25 4 WO      1,401.91 
11   21258 1522377 278201 11-JAN-25 $ WM      1,682.21 
11   22516 1522377 278202 11-JAN-25 $ WM      1,655.94 
11   21258 1522479 278203 11-JAN-25 $ WO        468.08 
11   22516 1522479 278204 11-JAN-25 $ WO        726.97 
11   21258 1521735 278205 11-JAN-25 7 WO        227.77 
11   22516 1521735 278206 11-JAN-25 7 WO      1,362.39 
11   05X32 1521870 278207 11-JAN-25 7 WO        389.26 
11   05X38 1521870 278208 11-JAN-25 7 WO      1,817.12 
11   05X32 1521752 278209 11-JAN-25 4 WM      3,055.82 
11   05X38 1521752 278210 11-JAN-25 4 WM        584.02 
11   21258 1522379 278211 11-JAN-25 $ WM      1,185.83 
11   22516 1522379 278212 11-JAN-25 $ WM      2,285.51 
11   22083 1519963 278214 11-JAN-25 4 WM      1,117.00 
11   06928 1520189 278215 11-JAN-25 4 WO        501.30 
11   06928 1519951 278216 11-JAN-25 4 WM      1,742.28 
11   22083 1518170 278217 11-JAN-25 4 WM      1,179.20 
11   06928 1519181 278218 11-JAN-25 4 WM      5,379.00 
11   50091 1522883 278219 11-JAN-25 4 RC        784.35 
11   05X32 1521869 278220 11-JAN-25 7 WO        857.25 
11   05X38 1521869 278221 11-JAN-25 7 WO        467.12 
11   21738 1522043 278222 11-JAN-25 $ WM      3,381.59 
11   08006 1522703 278223 11-JAN-25 $ WM      1,233.56 
11   22415 1522703 278224 11-JAN-25 $ WM      2,723.44 
11   22027 1522343 278227 11-JAN-25 $ RC        458.06 
11   22026 1522332 278228 11-JAN-25 4 WM        429.25 
11   21666 1522577 278229 11-JAN-25 $ WO        648.76 
