

SET LINE 100
SET PAGES 20000
COLUMN VALUE FORMAT 99,99,999.99


COMPUTE SUM OF VALUE ON DIV_CD
COMPUTE SUM OF VALUE ON REPORT
BREAK ON REPORT ON DIV_CD

---COMPUTE COUNT OF RTN_NO ON REPORT
---COMPUTE COUNT OF RTN_NO ON FL_MVH



TTITLE center 'Depot:'&&SC_CD', RECV_SUB Voucher of Date Expired Medicine' SKIP2



SPOOL ON

SELECT DISTINCT LOC_CD,DIV_CD,FP_ID,RV_NO,SUB_NO,RV_DT,RV_TYP,CAT_CD||PRD_CD,MFG_DT,EXP_DT,B_NO,RV_QTY,SUM(T_VAT*RV_QTY) VALUE
	FROM INV.RECV_SUB WHERE RV_DT BETWEEN '&DATE1' AND '&DATE2' 
	AND LOC_CD='&&SC_CD' 
	AND DIV_CD IN('1','2')
	AND RV_TYP='47' 
	---AND EXP_DT<='01AUG2022'
	GROUP BY LOC_CD,DIV_CD,FP_ID,RV_NO,SUB_NO,RV_DT,RV_TYP,CAT_CD||PRD_CD,MFG_DT,EXP_DT,B_NO,RV_QTY
	ORDER BY DIV_CD,EXP_DT,CAT_CD||PRD_CD

/

 
SPOOL OFF

ED ON.LST


==============================================================================


Date: 01-31 Dec'24

                         Depot:15, Receive Voucher of Date Expired Medicine                         
                                                                                                    
LO D FP_ID RV_NO   SUB_NO RV_DT     RV CAT_CD MFG_DT    EXP_DT    B_NO         RV_QTY         VALUE 
-- - ----- ------- ------ --------- -- ------ --------- --------- -------- ---------- ------------- 
15 1 27309 0005208 003920 15-DEC-24 47 051021 01-SEP-16 30-AUG-18 A0216003         .5         86.40 
15   05J77 0005208 003739 15-DEC-24 47 021015 01-NOV-19 30-OCT-21 E0158007          1         61.60 
15   28292 0005208 003891 15-DEC-24 47 031027 01-NOV-19 30-OCT-21 P0279017          2        106.32 
15   22331 0005208 003780 15-DEC-24 47 061048 01-NOV-19 30-OCT-21 L0481019          1         42.24 
15   07355 0005208 003912 15-DEC-24 47 081097 01-NOV-19 30-OCT-21 T0972001         .9        238.50 
15   22331 0005208 003780 15-DEC-24 47 081171 01-DEC-19 30-OCT-21 T1710019        .67         88.44 
15   27693 0005208 003910 15-DEC-24 47 141012 01-NOV-19 30-OCT-21 S0129100         .5         35.50 
15   21674 0005208 003784 15-DEC-24 47 081230 01-OCT-19 31-OCT-21 T2309004       1.67        354.21 
15   02BX6 0005208 003865 15-DEC-24 47 011012 01-DEC-19 30-NOV-21 C0129047        .64        140.80 
15   21912 0005208 003909 15-DEC-24 47 021011 01-DEC-19 30-NOV-21 E0119014          2         79.44 
15   22128 0005208 003779 15-DEC-24 47 021013 01-DEC-19 30-NOV-21 E0139002          7        203.91 
15   22976 0005208 003815 15-DEC-24 47 041001 01-DEC-19 30-NOV-21 D0019104          2         31.68 
15   05J77 0005208 003739 15-DEC-24 47 081075 01-DEC-19 30-NOV-21 T0759007         .4         50.40 
15   22128 0005208 003777 15-DEC-24 47 081107 01-DEC-19 30-NOV-21 T1079009       1.67        198.90 
15   21013 0005208 003905 15-DEC-24 47 081122 01-DEC-19 30-NOV-21 T1229016          1        132.90 
15   27954 0005208 003854 15-DEC-24 47 081175 01-NOV-19 30-NOV-21 T1759010          1        318.88 
15   22331 0005208 003793 15-DEC-24 47 081223 01-DEC-19 30-NOV-21 T2237024        .33         50.59 
15   22331 0005208 003793 15-DEC-24 47 081236 01-DEC-19 30-NOV-21 T2360119         .4         35.20 
15   21674 0005208 003784 15-DEC-24 47 141002 01-NOV-19 30-NOV-21 S0029086          1         44.30 
15   21674 0005208 003784 15-DEC-24 47 141002 01-NOV-19 30-NOV-21 S0029088          1         44.30 
15   21674 0005208 003784 15-DEC-24 47 141012 01-NOV-19 30-NOV-21 S0129108          6        426.00 
15   28292 0005208 003853 15-DEC-24 47 081059 01-DEC-19 30-DEC-21 T0599032          1        110.25 
